customer_id,customer_name,city,state,signup_date
1,Prisha Setty,Surat,Gujarat,2025-11-28
2,Vanya Sankar,Ahmedabad,Gujarat,2023-11-05
3,Samarth Chander,Delhi,Delhi,2026-01-19
4,Vedika Dhar,Pune,Maharashtra,2024-11-12
5,Emir Kuruvilla,Pune,Maharashtra,2025-05-05
6,Alisha Lata,Mumbai,Maharashtra,2025-01-05
7,Tejas Rau,Surat,Gujarat,2024-01-11
8,Charvi Kalita,Jaipur,Rajasthan,2025-08-01
9,Vritika Bali,Surat,Gujarat,2025-04-17
10,Samiha Chaudhari,Kolkata,West Bengal,2024-02-04
11,Nitya Dixit,Chennai,Tamil Nadu,2024-10-19
12,Kiaan Din,Ahmedabad,Gujarat,2025-07-24
13,Advik Gole,Ahmedabad,Gujarat,2026-04-23
14,Farhan Bhattacharyya,Surat,Gujarat,2026-03-07
15,Tejas Kar,Pune,Maharashtra,2026-04-05
16,Yasmin Seth,Pune,Maharashtra,2024-10-31
17,Nirvi Varughese,Jaipur,Rajasthan,2024-02-13
18,Ehsaan Srinivasan,Kolkata,West Bengal,2026-03-08
19,Ritvik Varkey,Ahmedabad,Gujarat,2024-07-19
20,Shlok Kashyap,Jaipur,Rajasthan,2025-01-28
21,Armaan Deep,Pune,Maharashtra,2024-05-26
22,Yuvaan Hora,Jaipur,Rajasthan,2024-07-03
23,Zara Rama,Chennai,Tamil Nadu,2025-11-14
24,Yasmin Chaudry,Pune,Maharashtra,2024-02-12
25,Saksham Tank,Hyderabad,Telangana,2024-10-05
26,Seher Bakshi,Kolkata,West Bengal,2025-07-24
27,Rati Butala,Delhi,Delhi,2025-10-01
28,Neysa Chakraborty,Ahmedabad,Gujarat,2023-06-03
29,Vivaan Kara,Mumbai,Maharashtra,2025-04-08
30,Kabir Barman,Chennai,Tamil Nadu,2023-07-18
31,Dishani Varghese,Bengaluru,Karnataka,2024-11-22
32,Yasmin Sharaf,Delhi,Delhi,2025-11-13
33,Jiya Bahri,Mumbai,Maharashtra,2025-04-08
34,Shayak Khosla,Pune,Maharashtra,2023-10-13
35,Ahana  Doshi,Bengaluru,Karnataka,2025-07-31
36,Parinaaz Mahal,Surat,Gujarat,2023-06-10
37,Mohanlal Sem,Surat,Gujarat,2024-10-22
38,Fateh Dalal,Chennai,Tamil Nadu,2025-11-01
39,Tushar Upadhyay,Surat,Gujarat,2025-01-23
40,Vedika Dass,Bengaluru,Karnataka,2024-04-26
41,Trisha Solanki,Bengaluru,Karnataka,2025-01-22
42,Tiya Trivedi,Kolkata,West Bengal,2025-04-07
43,Dhruv Som,Delhi,Delhi,2026-03-31
44,Jivin Rajagopalan,Ahmedabad,Gujarat,2023-11-27
45,Oorja Wable,Hyderabad,Telangana,2025-05-05
46,Ira Kumar,Jaipur,Rajasthan,2024-01-13
47,Samar Dayal,Surat,Gujarat,2023-09-16
48,Samarth Kashyap,Chennai,Tamil Nadu,2025-05-12
49,Kartik Hayer,Surat,Gujarat,2024-07-24
50,Saksham Chaudry,Jaipur,Rajasthan,2024-11-24
51,Purab Bal,Delhi,Delhi,2023-10-20
52,Fateh Ghose,Kolkata,West Bengal,2023-10-02
53,Jiya Shroff,Bengaluru,Karnataka,2024-04-10
54,Aarna Uppal,Kolkata,West Bengal,2023-12-11
55,Anaya Dalal,Pune,Maharashtra,2023-08-07
56,Pihu Cheema,Surat,Gujarat,2025-05-20
57,Riaan Saxena,Ahmedabad,Gujarat,2025-11-13
58,Jayant Borra,Pune,Maharashtra,2026-02-02
59,Ivana Deep,Delhi,Delhi,2024-11-13
60,Raunak Dasgupta,Surat,Gujarat,2023-11-22
61,Oorja Kakar,Pune,Maharashtra,2023-12-10
62,Alia Dhaliwal,Surat,Gujarat,2025-02-03
63,Bhavin Chahal,Chennai,Tamil Nadu,2025-03-08
64,Yuvraj  Ganesan,Delhi,Delhi,2025-10-30
65,Shaan Hayre,Hyderabad,Telangana,2025-07-12
66,Azad Vohra,Bengaluru,Karnataka,2025-10-31
67,Adira Dara,Mumbai,Maharashtra,2025-03-06
68,Taran Barman,Bengaluru,Karnataka,2025-08-17
69,Zara Ravi,Bengaluru,Karnataka,2023-05-29
70,Faiyaz Shanker,Pune,Maharashtra,2024-11-23
71,Kaira Vala,Delhi,Delhi,2024-07-22
72,Akarsh Saxena,Surat,Gujarat,2024-06-22
73,Dhanuk Vyas,Kolkata,West Bengal,2026-05-14
74,Dharmajan Mahal,Mumbai,Maharashtra,2026-02-04
75,Ishaan Wali,Jaipur,Rajasthan,2023-07-19
76,Ivana Tank,Pune,Maharashtra,2025-10-29
77,Yuvraj  Ben,Mumbai,Maharashtra,2026-05-09
78,Vidur Sachdev,Hyderabad,Telangana,2026-03-19
79,Vivaan Sawhney,Chennai,Tamil Nadu,2024-01-04
80,Anahita Kapoor,Delhi,Delhi,2024-02-01
81,Kavya Chawla,Jaipur,Rajasthan,2025-06-22
82,Pihu Vig,Pune,Maharashtra,2024-04-23
83,Rasha Kant,Bengaluru,Karnataka,2025-02-24
84,Dhanush Gala,Ahmedabad,Gujarat,2025-05-19
85,Shayak Dhillon,Pune,Maharashtra,2025-02-24
86,Shanaya Kapadia,Ahmedabad,Gujarat,2024-11-15
87,Priyansh Savant,Bengaluru,Karnataka,2025-08-20
88,Nirvi Chaudhry,Chennai,Tamil Nadu,2025-05-03
89,Zoya Khalsa,Delhi,Delhi,2023-09-04
90,Kiaan Kaul,Surat,Gujarat,2024-07-01
91,Divit Kapur,Pune,Maharashtra,2024-04-06
92,Shanaya Barman,Kolkata,West Bengal,2025-05-25
93,Trisha Choudhry,Bengaluru,Karnataka,2023-05-25
94,Jayan Hegde,Pune,Maharashtra,2025-12-20
95,Ranbir Batra,Hyderabad,Telangana,2024-01-27
96,Dhanush Chaudry,Chennai,Tamil Nadu,2024-10-25
97,Jayan Krishnamurthy,Hyderabad,Telangana,2024-09-12
98,Nitya Mallick,Mumbai,Maharashtra,2024-10-09
99,Vardaniya Bhardwaj,Delhi,Delhi,2025-05-13
100,Dhruv Saran,Mumbai,Maharashtra,2025-07-11
101,Lagan Chahal,Pune,Maharashtra,2026-04-24
102,Vivaan Balakrishnan,Jaipur,Rajasthan,2024-08-03
103,Samaira Chandran,Jaipur,Rajasthan,2023-08-10
104,Fateh Choudhry,Delhi,Delhi,2026-03-13
105,Zain Ghosh,Kolkata,West Bengal,2025-07-14
106,Zain Sura,Chennai,Tamil Nadu,2025-07-04
107,Bhavin Kala,Kolkata,West Bengal,2024-11-15
108,Jayan Sem,Chennai,Tamil Nadu,2025-08-27
109,Aaryahi Bal,Bengaluru,Karnataka,2024-07-15
110,Neysa Walia,Pune,Maharashtra,2025-04-20
111,Diya Rajan,Mumbai,Maharashtra,2024-09-15
112,Anika Sampath,Jaipur,Rajasthan,2024-12-06
113,Ivan Wason,Hyderabad,Telangana,2025-08-19
114,Aayush Sahota,Surat,Gujarat,2024-08-21
115,Rhea Seth,Ahmedabad,Gujarat,2025-12-02
116,Yuvaan Baral,Surat,Gujarat,2026-01-02
117,Seher Kannan,Mumbai,Maharashtra,2024-09-26
118,Lavanya Madan,Mumbai,Maharashtra,2024-02-25
119,Tanya Korpal,Chennai,Tamil Nadu,2023-05-31
120,Shanaya Hora,Kolkata,West Bengal,2024-01-14
121,Raghav Kaul,Surat,Gujarat,2024-05-01
122,Anay Kapoor,Chennai,Tamil Nadu,2025-06-24
123,Keya Walla,Chennai,Tamil Nadu,2025-12-11
124,Kavya Sarma,Kolkata,West Bengal,2024-02-23
125,Riya Gulati,Hyderabad,Telangana,2026-04-17
126,Anahita Chaudhary,Jaipur,Rajasthan,2024-01-27
127,Eva Balan,Delhi,Delhi,2024-03-15
128,Eva Shroff,Jaipur,Rajasthan,2023-07-26
129,Kiara Toor,Ahmedabad,Gujarat,2023-06-02
130,Jayan Sandal,Surat,Gujarat,2025-04-20
131,Seher Raju,Jaipur,Rajasthan,2024-10-05
132,Suhana Doctor,Delhi,Delhi,2024-04-21
133,Dhanush Lad,Bengaluru,Karnataka,2026-03-28
134,Zara Lanka,Surat,Gujarat,2024-09-25
135,Rhea Malhotra,Delhi,Delhi,2024-06-16
136,Anika Varghese,Chennai,Tamil Nadu,2025-09-23
137,Vedika Kapur,Mumbai,Maharashtra,2023-09-07
138,Trisha Bedi,Hyderabad,Telangana,2025-03-18
139,Sara Saha,Ahmedabad,Gujarat,2023-09-27
140,Amira Ghosh,Delhi,Delhi,2024-11-21
141,Jayesh Sachdev,Jaipur,Rajasthan,2026-03-21
142,Taimur Barman,Mumbai,Maharashtra,2025-07-10
143,Taran Bahl,Jaipur,Rajasthan,2023-10-26
144,Faiyaz Dora,Surat,Gujarat,2024-11-07
145,Kanav Raju,Delhi,Delhi,2023-06-03
146,Shayak Ahluwalia,Jaipur,Rajasthan,2025-01-13
147,Pari Sami,Kolkata,West Bengal,2025-05-05
148,Anahi Dora,Pune,Maharashtra,2023-10-26
149,Zaina Subramaniam,Mumbai,Maharashtra,2024-10-08
150,Tanya Suri,Bengaluru,Karnataka,2024-03-23
151,Ahana  Karpe,Mumbai,Maharashtra,2025-06-05
152,Vaibhav Madan,Jaipur,Rajasthan,2024-05-03
153,Neysa Khatri,Jaipur,Rajasthan,2025-10-30
154,Nitara Arya,Ahmedabad,Gujarat,2025-01-14
155,Jivika Rau,Kolkata,West Bengal,2023-11-09
156,Rohan Malhotra,Bengaluru,Karnataka,2024-07-11
157,Vanya Dhaliwal,Hyderabad,Telangana,2025-04-03
158,Lakshay Dhawan,Ahmedabad,Gujarat,2024-11-28
159,Oorja Rege,Surat,Gujarat,2026-01-22
160,Samaira Lalla,Bengaluru,Karnataka,2024-11-03
161,Abram Maharaj,Delhi,Delhi,2024-04-19
162,Jayant Halder,Pune,Maharashtra,2023-09-08
163,Hazel Gopal,Ahmedabad,Gujarat,2024-09-16
164,Vidur Bir,Pune,Maharashtra,2023-12-11
165,Pranay Ramachandran,Kolkata,West Bengal,2025-12-11
166,Vedika Randhawa,Surat,Gujarat,2024-03-07
167,Gokul Aurora,Surat,Gujarat,2024-12-06
168,Nehmat Varkey,Hyderabad,Telangana,2024-02-05
169,Kabir Biswas,Surat,Gujarat,2024-02-24
170,Farhan Sarna,Jaipur,Rajasthan,2025-09-05
171,Navya Upadhyay,Mumbai,Maharashtra,2024-07-06
172,Neysa Sundaram,Mumbai,Maharashtra,2024-04-16
173,Fateh Hegde,Hyderabad,Telangana,2024-12-30
174,Aayush Bajaj,Jaipur,Rajasthan,2024-12-06
175,Parinaaz Rajagopal,Mumbai,Maharashtra,2024-07-06
176,Kiara Raval,Delhi,Delhi,2024-08-13
177,Mahika Ravi,Jaipur,Rajasthan,2024-07-14
178,Shaan Tandon,Kolkata,West Bengal,2023-12-08
179,Aniruddh Sharaf,Chennai,Tamil Nadu,2025-08-22
180,Anahita Gola,Pune,Maharashtra,2024-01-30
181,Zoya Kuruvilla,Jaipur,Rajasthan,2025-04-29
182,Baiju Chakraborty,Pune,Maharashtra,2023-07-04
183,Pihu Sangha,Delhi,Delhi,2024-05-08
184,Indrajit Dubey,Chennai,Tamil Nadu,2025-07-10
185,Kartik Lad,Bengaluru,Karnataka,2024-05-15
186,Tanya Mani,Hyderabad,Telangana,2023-11-08
187,Rhea Ghose,Jaipur,Rajasthan,2024-11-03
188,Nirvaan Dada,Hyderabad,Telangana,2026-03-07
189,Kavya Contractor,Surat,Gujarat,2024-07-29
190,Ishita Goel,Pune,Maharashtra,2026-05-15
191,Onkar Batta,Pune,Maharashtra,2023-05-23
192,Diya Sinha,Surat,Gujarat,2024-10-22
193,Sumer Bera,Bengaluru,Karnataka,2023-10-18
194,Divyansh Ramachandran,Ahmedabad,Gujarat,2024-06-04
195,Aniruddh Shenoy,Kolkata,West Bengal,2025-04-03
196,Kaira Ben,Jaipur,Rajasthan,2023-12-19
197,Navya Ahuja,Pune,Maharashtra,2023-12-04
198,Zain Kar,Kolkata,West Bengal,2024-03-11
199,Fateh Varghese,Pune,Maharashtra,2024-09-18
200,Shray Randhawa,Ahmedabad,Gujarat,2025-01-30
201,Indrajit Borde,Surat,Gujarat,2024-12-06
202,Aayush Thakkar,Ahmedabad,Gujarat,2025-04-15
203,Taran Karnik,Pune,Maharashtra,2024-05-28
204,Manikya Sathe,Surat,Gujarat,2025-03-06
205,Ojas Jhaveri,Ahmedabad,Gujarat,2025-04-09
206,Jivika Raman,Bengaluru,Karnataka,2023-11-21
207,Fateh Gade,Surat,Gujarat,2023-07-21
208,Tanya Sen,Jaipur,Rajasthan,2026-04-23
209,Indrans Vala,Pune,Maharashtra,2023-10-06
210,Hrishita Chadha,Delhi,Delhi,2023-07-29
211,Alia Chauhan,Hyderabad,Telangana,2024-01-13
212,Ranbir Thaman,Pune,Maharashtra,2023-08-06
213,Emir Deshmukh,Jaipur,Rajasthan,2023-07-09
214,Krish Bhavsar,Mumbai,Maharashtra,2026-01-30
215,Azad Boase,Kolkata,West Bengal,2023-07-07
216,Umang Arora,Kolkata,West Bengal,2024-10-28
217,Amani Mane,Hyderabad,Telangana,2024-03-01
218,Hunar Hari,Pune,Maharashtra,2025-06-18
219,Nitya Chauhan,Hyderabad,Telangana,2025-07-21
220,Anika Varty,Chennai,Tamil Nadu,2025-10-09
221,Oorja Bhatnagar,Pune,Maharashtra,2025-06-13
222,Vanya Dasgupta,Surat,Gujarat,2025-05-25
223,Darshit Dey,Surat,Gujarat,2025-03-10
224,Indrans Dube,Chennai,Tamil Nadu,2025-06-05
225,Hansh Bajaj,Bengaluru,Karnataka,2025-04-17
226,Mannat Sampath,Chennai,Tamil Nadu,2025-12-10
227,Vanya Zacharia,Chennai,Tamil Nadu,2024-05-30
228,Nakul Hegde,Hyderabad,Telangana,2025-06-10
229,Drishya Trivedi,Ahmedabad,Gujarat,2024-11-06
230,Jhanvi Din,Surat,Gujarat,2023-09-02
231,Amira Brahmbhatt,Ahmedabad,Gujarat,2025-03-21
232,Vihaan Sani,Chennai,Tamil Nadu,2023-10-05
233,Hansh Anand,Bengaluru,Karnataka,2023-06-28
234,Divyansh Jayaraman,Surat,Gujarat,2024-03-29
235,Kismat Balasubramanian,Pune,Maharashtra,2025-08-20
236,Onkar Dubey,Pune,Maharashtra,2025-07-15
237,Lagan Aggarwal,Pune,Maharashtra,2025-11-21
238,Abram Vora,Jaipur,Rajasthan,2023-05-29
239,Urvi Sane,Hyderabad,Telangana,2024-08-25
240,Lakshay Sastry,Mumbai,Maharashtra,2023-11-06
241,Urvi Ravel,Chennai,Tamil Nadu,2025-10-20
242,Mahika Badami,Mumbai,Maharashtra,2025-02-05
243,Riaan Rajagopal,Delhi,Delhi,2025-10-21
244,Hunar Amble,Hyderabad,Telangana,2024-02-26
245,Inaaya  Gandhi,Pune,Maharashtra,2024-03-02
246,Nehmat Kuruvilla,Surat,Gujarat,2023-09-11
